,property_sub_type_en,property_usage_en,reg_type_en,area_name_en,transaction_id,trans_group_en,procedure_name_en,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,building_name_en,property_type_en,instance_date
0,,Commercial,Existing Properties,Al Muteena,1-11-2004-2099,Sales,Sell,,,Dubai International Airport,Salah Al Din Metro Station,Dubai Mall,,0,860.28,4500000.0,5230.86,,,,Villa,04-10-2004
1,Flat,Residential,Existing Properties,Burj Khalifa,1-11-2011-6898,Sales,Sell,BURJ KHALIFA TOWERS,Burj Khalifa,Burj Khalifa,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,89.93,2008888.0,22338.35,,,Burj Khalifa,Unit,21-04-2011
2,Flat,Residential,Existing Properties,Al Warsan First,1-11-2008-203212,Sales,Sell,,International City Phase 1,,Rashidiya Metro Station,City Centre Mirdif,1 B/R,0,67.0,330000.0,4925.37,,,N-09,Unit,11-06-2008
3,Flat,Residential,Existing Properties,Al Thanyah Fifth,1-11-2010-15769,Sales,Sell,,Jumeirah Lakes Towers,Burj Al Arab,Damac Properties,Marina Mall,1 B/R,1,100.8,928756.0,9213.85,,,GREEN LAKES S1,Unit,25-10-2010
4,Flat,Residential,Existing Properties,Al Warsan First,1-110-2010-557,Sales,Lease to Own Registration,,International City Phase 1,Dubai International Airport,Rashidiya Metro Station,City Centre Mirdif,Studio,0,43.0,290000.0,6744.19,,,X-23,Unit,24-03-2010
5,Flat,Residential,Existing Properties,Al Thanyah Fifth,1-11-2008-211116,Sales,Sell,SABA TOWER 2,Jumeirah Lakes Towers,Burj Al Arab,Damac Properties,Marina Mall,2 B/R,1,137.45,796970.0,5798.25,,,SABA 2,Unit,18-12-2008
6,Flat,Residential,Existing Properties,Me'Aisem First,1-11-2010-3056,Sales,Sell,THE CRESCENT,International Media Production Zone,Sports City Swimming Academy,Damac Properties,Marina Mall,Studio,1,47.65,519000.0,10891.92,,,THE CRESCENT  B,Unit,10-03-2010
7,Flat,Residential,Existing Properties,Marsa Dubai,1-11-2009-214345,Sales,Sell,,Jumeriah Beach Residence  - JBR,Burj Al Arab,Jumeirah Beach Resdency,Marina Mall,3 B/R,1,178.52,699000.0,3915.53,,,Murjan 1,Unit,20-07-2009
8,Flat,Residential,Existing Properties,Marsa Dubai,2-110-2012-453,Mortgages,Lease to Own Registration,,Dubai Marina,Burj Al Arab,Marina Towers,Marina Mall,3 B/R,1,313.44,1860000.0,5934.15,1860000.0,5934.15,AL MASS VILLA,Unit,23-04-2012
9,Flat,Residential,Existing Properties,Wadi Al Safa 5,1-11-2013-26564,Sales,Sell,SKY COURTS,Residential Complex,IMG World Adventures,,,2 B/R,1,117.19,835575.0,7130.1,,,Skycourts Tower B,Unit,09-09-2013
